[2026-06-05 20:45:49] | User_ID: 846182184 | Car: LADA (VAZ) 2107 2004 | Price: 2,900 AZN | Discount: 37.0% | City: Bakı
[2026-06-05 20:45:50] | User_ID: 846182184 | Car: Daewoo Nexia 2011 | Price: 3,500 AZN | Discount: 32.7% | City: İsmayıllı
[2026-06-05 20:45:50] | User_ID: 846182184 | Car: LADA (VAZ) 2107 2002 | Price: 3,800 AZN | Discount: 13.6% | City: Sabirabad
[2026-06-05 20:45:51] | User_ID: 846182184 | Car: LADA (VAZ) 2107 2002 | Price: 3,900 AZN | Discount: 11.4% | City: Salyan
[2026-06-05 20:45:51] | User_ID: 846182184 | Car: Chevrolet Cruze 2016 | Price: 11,900 AZN | Discount: 23.2% | City: Bakı
[2026-06-05 20:45:52] | User_ID: 846182184 | Car: Mercedes E 220 2002 | Price: 13,000 AZN | Discount: 4.4% | City: Bakı
[2026-06-05 21:15:50] | User_ID: 8196099591 | Car: LADA (VAZ) 2115 2012 | Price: 7,300 AZN | Discount: 12.0% | City: Bakı
[2026-06-05 21:15:50] | User_ID: 7026669010 | Car: LADA (VAZ) 2115 2012 | Price: 7,300 AZN | Discount: 12.0% | City: Bakı
[2026-06-05 21:15:50] | User_ID: 846182184 | Car: LADA (VAZ) 2115 2012 | Price: 7,300 AZN | Discount: 12.0% | City: Bakı
[2026-06-05 21:30:49] | User_ID: 846182184 | Car: LADA (VAZ) 2115 2008 | Price: 5,900 AZN | Discount: 13.2% | City: Gəncə
[2026-06-05 21:45:49] | User_ID: 846182184 | Car: BMW 525 2002 | Price: 11,700 AZN | Discount: 10.0% | City: Bakı
[2026-06-05 21:45:49] | User_ID: 846182184 | Car: Chevrolet Cruze 2015 | Price: 13,200 AZN | Discount: 4.3% | City: Gəncə
[2026-06-05 22:00:49] | User_ID: 846182184 | Car: LADA (VAZ) 2107 2002 | Price: 3,500 AZN | Discount: 20.5% | City: Bakı
[2026-06-05 22:00:49] | User_ID: 846182184 | Car: LADA (VAZ) 2115 2009 | Price: 6,600 AZN | Discount: 5.7% | City: Biləsuvar
[2026-06-05 22:00:50] | User_ID: 846182184 | Car: Ford Fusion (North America) 2015 | Price: 14,800 AZN | Discount: 4.5% | City: Gəncə
[2026-06-05 22:00:51] | User_ID: 846182184 | Car: Ford Transit 2011 | Price: 19,200 AZN | Discount: 10.7% | City: Bakı
[2026-06-05 22:00:52] | User_ID: 846182184 | Car: Toyota Camry 2014 | Price: 22,900 AZN | Discount: 8.4% | City: Bakı
[2026-06-05 22:30:48] | User_ID: 846182184 | Car: Chevrolet Cruze 2017 | Price: 8,500 AZN | Discount: 48.5% | City: Bakı
[2026-06-05 22:30:49] | User_ID: 846182184 | Car: Nissan Tiida 2008 | Price: 9,700 AZN | Discount: 20.5% | City: Bakı
[2026-06-05 22:30:50] | User_ID: 846182184 | Car: Hyundai ix35 2013 | Price: 19,900 AZN | Discount: 11.6% | City: Bakı
[2026-06-05 22:45:49] | User_ID: 846182184 | Car: LADA (VAZ) 2106 1999 | Price: 3,600 AZN | Discount: 33.3% | City: Biləsuvar
[2026-06-05 22:45:49] | User_ID: 846182184 | Car: LADA (VAZ) 2107 2002 | Price: 3,700 AZN | Discount: 15.9% | City: Lənkəran
[2026-06-05 22:45:50] | User_ID: 8196099591 | Car: LADA (VAZ) 2115 2011 | Price: 6,900 AZN | Discount: 11.5% | City: Bakı
[2026-06-05 22:45:50] | User_ID: 7026669010 | Car: LADA (VAZ) 2115 2011 | Price: 6,900 AZN | Discount: 11.5% | City: Bakı
[2026-06-05 22:45:50] | User_ID: 846182184 | Car: LADA (VAZ) 2115 2011 | Price: 6,900 AZN | Discount: 11.5% | City: Bakı
[2026-06-05 22:45:51] | User_ID: 846182184 | Car: Mercedes E 230 1996 | Price: 7,700 AZN | Discount: 18.9% | City: Bakı
[2026-06-05 22:45:52] | User_ID: 846182184 | Car: BMW 328 2013 | Price: 18,500 AZN | Discount: 17.8% | City: Bakı
[2026-06-05 22:45:53] | User_ID: 846182184 | Car: LADA (VAZ) Niva 2024 | Price: 19,200 AZN | Discount: 8.6% | City: Gəncə
[2026-06-05 23:15:48] | User_ID: 846182184 | Car: Mercedes E 220 1998 | Price: 9,400 AZN | Discount: 14.5% | City: Sumqayıt
[2026-06-05 23:15:49] | User_ID: 846182184 | Car: Hyundai Elantra 2011 | Price: 15,900 AZN | Discount: 7.6% | City: Sumqayıt
[2026-06-05 23:30:49] | User_ID: 846182184 | Car: Kia Sorento 2015 | Price: 29,300 AZN | Discount: 15.1% | City: Bakı
[2026-06-05 23:45:49] | User_ID: 846182184 | Car: Ford Transit 2011 | Price: 17,000 AZN | Discount: 20.9% | City: Xaçmaz
[2026-06-05 23:45:50] | User_ID: 846182184 | Car: Kia Optima 2014 | Price: 19,900 AZN | Discount: 5.2% | City: Gəncə
[2026-06-06 00:00:49] | User_ID: 846182184 | Car: BMW 525 2001 | Price: 8,200 AZN | Discount: 28.1% | City: Bakı
